Time slot,Consumption (kWh),Wind Generation (kWh per MW),Solar Generation (kWh per MWp),,Grid Tariff: $0.30 per kWh from 7am to 10 am and 5pm to 10pm and $0.20 per kWh for 10 am to 5pm and $0.00 per kWh for the remainder of the day.  ,,,,,
1/1/2025 10:30,10,7,151,,,,,,,
1/1/2025 10:45,10,9,151,,,,,,,
1/1/2025 11:00,10,13,165,,,,,,,
1/1/2025 11:15,10,13,165,,,,,,,
1/1/2025 11:30,10,13,165,,,,,,,
1/1/2025 11:45,10,17,165,,,,,,,
1/1/2025 12:00,10,13,167,,,,,,,
1/1/2025 12:15,10,13,167,,,,,,,
1/1/2025 12:30,10,13,167,,,,,,,
1/1/2025 12:45,10,13,167,,,,,,,
1/1/2025 13:00,10,13,157,,,,,,,
1/1/2025 13:15,10,13,157,,,,,,,
1/1/2025 13:30,10,9,157,,,,,,,
1/1/2025 13:45,10,6,157,,,,,,,
1/1/2025 14:00,10,3,135,,,,,,,
1/1/2025 14:15,10,7,135,,,,,,,
1/1/2025 14:30,10,7,135,,,,,,,
1/1/2025 14:45,10,7,135,,,,,,,
1/1/2025 15:00,10,11,99,,,,,,,
1/1/2025 15:15,10,15,99,,,,,,,
1/1/2025 15:30,10,19,99,,,,,,,
1/1/2025 15:45,10,13,99,,,,,,,
1/1/2025 16:00,10,13,51,,,,,,,
1/1/2025 16:15,10,9,51,,,,,,,
1/1/2025 16:30,10,13,51,,,,,,,
1/1/2025 16:45,10,19,51,,,,,,,
1/1/2025 17:00,10,24,1,,,,,,,
1/1/2025 17:15,10,27,1,,,,,,,
1/1/2025 17:30,10,27,1,,,,,,,
1/1/2025 17:45,10,36,1,,,,,,,
1/1/2025 18:00,10,36,0,,,,,,,
1/1/2025 18:15,10,47,0,,,,,,,
1/1/2025 18:30,10,47,0,,,,,,,
1/1/2025 18:45,10,47,0,,,,,,,
1/1/2025 19:00,10,47,0,,,,,,,
1/1/2025 19:15,10,51,0,,,,,,,
1/1/2025 19:30,10,59,0,,,,,,,
1/1/2025 19:45,10,47,0,,,,,,,
1/1/2025 20:00,10,47,0,,,,,,,
1/1/2025 20:15,10,47,0,,,,,,,
1/1/2025 20:30,10,47,0,,,,,,,
1/1/2025 20:45,10,47,0,,,,,,,
1/1/2025 21:00,10,40,0,,,,,,,
1/1/2025 21:15,10,36,0,,,,,,,
1/1/2025 21:30,10,30,0,,,,,,,
1/1/2025 21:45,10,36,0,,,,,,,
1/1/2025 22:00,10,36,0,,,,,,,
1/1/2025 22:15,10,27,0,,,,,,,
1/1/2025 22:30,10,33,0,,,,,,,
1/1/2025 22:45,10,33,0,,,,,,,
1/1/2025 23:00,10,27,0,,,,,,,
1/1/2025 23:15,10,19,0,,,,,,,
1/1/2025 23:30,10,19,0,,,,,,,
1/1/2025 23:45,10,19,0,,,,,,,
1/2/2025 0:00,10,22,0,,,,,,,
1/2/2025 0:15,10,19,0,,,,,,,
1/2/2025 0:30,10,24,0,,,,,,,
1/2/2025 0:45,10,19,0,,,,,,,
1/2/2025 1:00,10,19,0,,,,,,,
1/2/2025 1:15,10,22,0,,,,,,,
1/2/2025 1:30,10,22,0,,,,,,,
1/2/2025 1:45,10,27,0,,,,,,,
1/2/2025 2:00,10,27,0,,,,,,,
1/2/2025 2:15,10,36,0,,,,,,,
1/2/2025 2:30,10,36,0,,,,,,,
1/2/2025 2:45,10,47,0,,,,,,,
1/2/2025 3:00,10,47,0,,,,,,,
1/2/2025 3:15,10,47,0,,,,,,,
1/2/2025 3:30,10,47,0,,,,,,,
1/2/2025 3:45,10,40,0,,,,,,,
1/2/2025 4:00,10,47,0,,,,,,,
1/2/2025 4:15,10,40,0,,,,,,,
1/2/2025 4:30,10,47,0,,,,,,,
1/2/2025 4:45,10,40,0,,,,,,,
1/2/2025 5:00,10,47,0,,,,,,,
1/2/2025 5:15,10,47,0,,,,,,,
1/2/2025 5:30,10,47,0,,,,,,,
1/2/2025 5:45,10,36,0,,,,,,,
1/2/2025 6:00,10,36,0,,,,,,,
1/2/2025 6:15,10,40,0,,,,,,,
1/2/2025 6:30,10,40,0,,,,,,,
1/2/2025 6:45,10,36,0,,,,,,,
1/2/2025 7:00,10,43,21,,,,,,,
1/2/2025 7:15,10,49,21,,,,,,,
1/2/2025 7:30,10,42,21,,,,,,,
1/2/2025 7:45,10,27,21,,,,,,,
1/2/2025 8:00,10,27,79,,,,,,,
1/2/2025 8:15,10,27,79,,,,,,,
1/2/2025 8:30,10,27,79,,,,,,,
1/2/2025 8:45,10,27,79,,,,,,,
1/2/2025 9:00,10,27,130,,,,,,,
1/2/2025 9:15,10,24,130,,,,,,,
1/2/2025 9:30,10,24,130,,,,,,,
1/2/2025 9:45,10,27,130,,,,,,,
1/2/2025 10:00,10,22,162,,,,,,,
1/2/2025 10:15,10,27,162,,,,,,,
1/2/2025 10:30,10,27,162,,,,,,,
1/2/2025 10:45,10,22,162,,,,,,,
1/2/2025 11:00,10,22,167,,,,,,,
1/2/2025 11:15,10,19,167,,,,,,,
1/2/2025 11:30,10,19,167,,,,,,,
1/2/2025 11:45,10,15,167,,,,,,,
1/2/2025 12:00,10,19,167,,,,,,,
1/2/2025 12:15,10,19,167,,,,,,,
1/2/2025 12:30,10,15,167,,,,,,,
1/2/2025 12:45,10,13,167,,,,,,,
1/2/2025 13:00,10,13,167,,,,,,,
1/2/2025 13:15,10,19,167,,,,,,,
1/2/2025 13:30,10,19,167,,,,,,,
1/2/2025 13:45,10,24,167,,,,,,,
1/2/2025 14:00,10,24,153,,,,,,,
1/2/2025 14:15,10,24,153,,,,,,,
1/2/2025 14:30,10,19,153,,,,,,,
1/2/2025 14:45,10,19,153,,,,,,,
1/2/2025 15:00,10,24,116,,,,,,,
1/2/2025 15:15,10,24,116,,,,,,,
1/2/2025 15:30,10,19,116,,,,,,,
1/2/2025 15:45,10,19,116,,,,,,,
1/2/2025 16:00,10,19,60,,,,,,,
1/2/2025 16:15,10,19,60,,,,,,,
1/2/2025 16:30,10,24,60,,,,,,,
1/2/2025 16:45,10,27,60,,,,,,,
1/2/2025 17:00,10,27,2,,,,,,,
1/2/2025 17:15,10,27,2,,,,,,,
1/2/2025 17:30,10,33,2,,,,,,,
1/2/2025 17:45,10,40,2,,,,,,,
1/2/2025 18:00,10,55,0,,,,,,,
1/2/2025 18:15,10,59,0,,,,,,,
1/2/2025 18:30,10,69,0,,,,,,,
1/2/2025 18:45,10,74,0,,,,,,,
1/2/2025 19:00,10,74,0,,,,,,,
1/2/2025 19:15,10,69,0,,,,,,,
1/2/2025 19:30,10,59,0,,,,,,,
1/2/2025 19:45,10,59,0,,,,,,,
1/2/2025 20:00,10,44,0,,,,,,,
1/2/2025 20:15,10,36,0,,,,,,,
1/2/2025 20:30,10,36,0,,,,,,,
1/2/2025 20:45,10,36,0,,,,,,,
1/2/2025 21:00,10,36,0,,,,,,,
1/2/2025 21:15,10,36,0,,,,,,,
1/2/2025 21:30,10,30,0,,,,,,,
1/2/2025 21:45,10,30,0,,,,,,,
1/2/2025 22:00,10,30,0,,,,,,,
1/2/2025 22:15,10,33,0,,,,,,,
1/2/2025 22:30,10,27,0,,,,,,,
1/2/2025 22:45,10,27,0,,,,,,,
1/2/2025 23:00,10,40,0,,,,,,,
1/2/2025 23:15,10,33,0,,,,,,,
1/2/2025 23:30,10,27,0,,,,,,,
1/2/2025 23:45,10,27,0,,,,,,,
1/3/2025 0:00,10,25,0,,,,,,,
1/3/2025 0:15,10,30,0,,,,,,,
1/3/2025 0:30,10,36,0,,,,,,,
1/3/2025 0:45,10,36,0,,,,,,,
1/3/2025 1:00,10,30,0,,,,,,,
1/3/2025 1:15,10,27,0,,,,,,,
1/3/2025 1:30,10,33,0,,,,,,,
1/3/2025 1:45,10,33,0,,,,,,,
1/3/2025 2:00,10,27,0,,,,,,,
1/3/2025 2:15,10,33,0,,,,,,,
1/3/2025 2:30,10,47,0,,,,,,,
1/3/2025 2:45,10,55,0,,,,,,,
1/3/2025 3:00,10,40,0,,,,,,,
1/3/2025 3:15,10,43,0,,,,,,,
1/3/2025 3:30,10,36,0,,,,,,,
1/3/2025 3:45,10,47,0,,,,,,,
1/3/2025 4:00,10,55,0,,,,,,,
1/3/2025 4:15,10,47,0,,,,,,,
1/3/2025 4:30,10,40,0,,,,,,,
1/3/2025 4:45,10,36,0,,,,,,,
1/3/2025 5:00,10,36,0,,,,,,,
1/3/2025 5:15,10,30,0,,,,,,,
1/3/2025 5:30,10,36,0,,,,,,,
1/3/2025 5:45,10,36,0,,,,,,,
1/3/2025 6:00,10,43,0,,,,,,,
1/3/2025 6:15,10,36,0,,,,,,,
1/3/2025 6:30,10,36,0,,,,,,,
1/3/2025 6:45,10,36,0,,,,,,,
1/3/2025 7:00,10,36,22,,,,,,,
1/3/2025 7:15,10,47,22,,,,,,,
1/3/2025 7:30,10,47,22,,,,,,,
1/3/2025 7:45,10,47,22,,,,,,,
1/3/2025 8:00,10,47,84,,,,,,,
1/3/2025 8:15,10,51,84,,,,,,,
1/3/2025 8:30,10,59,84,,,,,,,
1/3/2025 8:45,10,47,84,,,,,,,
1/3/2025 9:00,10,47,134,,,,,,,
1/3/2025 9:15,10,43,134,,,,,,,
1/3/2025 9:30,10,30,134,,,,,,,
1/3/2025 9:45,10,24,134,,,,,,,
1/3/2025 10:00,10,19,167,,,,,,,
1/3/2025 10:15,10,19,167,,,,,,,
1/3/2025 10:30,10,19,167,,,,,,,
1/3/2025 10:45,10,19,167,,,,,,,
1/3/2025 11:00,10,19,167,,,,,,,
1/3/2025 11:15,10,22,167,,,,,,,
1/3/2025 11:30,10,22,167,,,,,,,
1/3/2025 11:45,10,27,167,,,,,,,
1/3/2025 12:00,10,27,167,,,,,,,
1/3/2025 12:15,10,27,167,,,,,,,
1/3/2025 12:30,10,27,167,,,,,,,
1/3/2025 12:45,10,27,167,,,,,,,
1/3/2025 13:00,10,33,167,,,,,,,
1/3/2025 13:15,10,24,167,,,,,,,
1/3/2025 13:30,10,19,167,,,,,,,
1/3/2025 13:45,10,27,167,,,,,,,
1/3/2025 14:00,10,22,158,,,,,,,
1/3/2025 14:15,10,27,158,,,,,,,
1/3/2025 14:30,10,27,158,,,,,,,
1/3/2025 14:45,10,27,158,,,,,,,
1/3/2025 15:00,10,27,121,,,,,,,
1/3/2025 15:15,10,27,121,,,,,,,
1/3/2025 15:30,10,27,121,,,,,,,
1/3/2025 15:45,10,27,121,,,,,,,
1/3/2025 16:00,10,27,66,,,,,,,
1/3/2025 16:15,10,22,66,,,,,,,
1/3/2025 16:30,10,33,66,,,,,,,
1/3/2025 16:45,10,27,66,,,,,,,
1/3/2025 17:00,10,27,2,,,,,,,
1/3/2025 17:15,10,36,2,,,,,,,
1/3/2025 17:30,10,36,2,,,,,,,
1/3/2025 17:45,10,36,2,,,,,,,
1/3/2025 18:00,10,36,0,,,,,,,
1/3/2025 18:15,10,27,0,,,,,,,
1/3/2025 18:30,10,27,0,,,,,,,
1/3/2025 18:45,10,27,0,,,,,,,
1/3/2025 19:00,10,27,0,,,,,,,
1/3/2025 19:15,10,27,0,,,,,,,
1/3/2025 19:30,10,27,0,,,,,,,
1/3/2025 19:45,10,27,0,,,,,,,
1/3/2025 20:00,10,27,0,,,,,,,
1/3/2025 20:15,10,27,0,,,,,,,
1/3/2025 20:30,10,33,0,,,,,,,
1/3/2025 20:45,10,27,0,,,,,,,
1/3/2025 21:00,10,27,0,,,,,,,
1/3/2025 21:15,10,36,0,,,,,,,
1/3/2025 21:30,10,36,0,,,,,,,
1/3/2025 21:45,10,36,0,,,,,,,
1/3/2025 22:00,10,36,0,,,,,,,
1/3/2025 22:15,10,27,0,,,,,,,
1/3/2025 22:30,10,27,0,,,,,,,
1/3/2025 22:45,10,27,0,,,,,,,
1/3/2025 23:00,10,22,0,,,,,,,
1/3/2025 23:15,10,19,0,,,,,,,
1/3/2025 23:30,10,19,0,,,,,,,
1/3/2025 23:45,10,30,0,,,,,,,
1/4/2025 0:00,10,30,0,,,,,,,
1/4/2025 0:15,10,30,0,,,,,,,
1/4/2025 0:30,10,36,0,,,,,,,
1/4/2025 0:45,10,27,0,,,,,,,
1/4/2025 1:00,10,33,0,,,,,,,
1/4/2025 1:15,10,24,0,,,,,,,
1/4/2025 1:30,10,19,0,,,,,,,
1/4/2025 1:45,10,22,0,,,,,,,
1/4/2025 2:00,10,22,0,,,,,,,
1/4/2025 2:15,10,19,0,,,,,,,
1/4/2025 2:30,10,19,0,,,,,,,
1/4/2025 2:45,10,19,0,,,,,,,
1/4/2025 3:00,10,15,0,,,,,,,
1/4/2025 3:15,10,13,0,,,,,,,
1/4/2025 3:30,10,13,0,,,,,,,
1/4/2025 3:45,10,13,0,,,,,,,
1/4/2025 4:00,10,13,0,,,,,,,
1/4/2025 4:15,10,13,0,,,,,,,
1/4/2025 4:30,10,17,0,,,,,,,
1/4/2025 4:45,10,19,0,,,,,,,
1/4/2025 5:00,10,19,0,,,,,,,
1/4/2025 5:15,10,22,0,,,,,,,
1/4/2025 5:30,10,33,0,,,,,,,
1/4/2025 5:45,10,36,0,,,,,,,
1/4/2025 6:00,10,36,0,,,,,,,
1/4/2025 6:15,10,40,0,,,,,,,
1/4/2025 6:30,10,47,0,,,,,,,
1/4/2025 6:45,10,36,0,,,,,,,
1/4/2025 7:00,10,36,20,,,,,,,
1/4/2025 7:15,10,52,20,,,,,,,
1/4/2025 7:30,10,36,20,,,,,,,
1/4/2025 7:45,10,27,20,,,,,,,
1/4/2025 8:00,10,27,77,,,,,,,
1/4/2025 8:15,10,33,77,,,,,,,
1/4/2025 8:30,10,27,77,,,,,,,
1/4/2025 8:45,10,27,77,,,,,,,
1/4/2025 9:00,10,33,122,,,,,,,
1/4/2025 9:15,10,17,122,,,,,,,
1/4/2025 9:30,10,13,122,,,,,,,
1/4/2025 9:45,10,13,122,,,,,,,
1/4/2025 10:00,10,13,153,,,,,,,
1/4/2025 10:15,10,11,153,,,,,,,
1/4/2025 10:30,10,7,153,,,,,,,
1/4/2025 10:45,10,7,153,,,,,,,
1/4/2025 11:00,10,7,167,,,,,,,
1/4/2025 11:15,10,7,167,,,,,,,
1/4/2025 11:30,10,7,167,,,,,,,
1/4/2025 11:45,10,7,167,,,,,,,
1/4/2025 12:00,10,7,167,,,,,,,
1/4/2025 12:15,10,9,167,,,,,,,
1/4/2025 12:30,10,13,167,,,,,,,
1/4/2025 12:45,10,11,167,,,,,,,
1/4/2025 13:00,10,11,159,,,,,,,
1/4/2025 13:15,10,13,159,,,,,,,
1/4/2025 13:30,10,13,159,,,,,,,
1/4/2025 13:45,10,7,159,,,,,,,
1/4/2025 14:00,10,7,147,,,,,,,
1/4/2025 14:15,10,13,147,,,,,,,
1/4/2025 14:30,10,13,147,,,,,,,
1/4/2025 14:45,10,13,147,,,,,,,
1/4/2025 15:00,10,13,115,,,,,,,
1/4/2025 15:15,10,13,115,,,,,,,
1/4/2025 15:30,10,13,115,,,,,,,
1/4/2025 15:45,10,13,115,,,,,,,
1/4/2025 16:00,10,13,61,,,,,,,
1/4/2025 16:15,10,13,61,,,,,,,
1/4/2025 16:30,10,9,61,,,,,,,
1/4/2025 16:45,10,17,61,,,,,,,
1/4/2025 17:00,10,17,2,,,,,,,
1/4/2025 17:15,10,15,2,,,,,,,
1/4/2025 17:30,10,15,2,,,,,,,
1/4/2025 17:45,10,19,2,,,,,,,
1/4/2025 18:00,10,24,0,,,,,,,
1/4/2025 18:15,10,30,0,,,,,,,
1/4/2025 18:30,10,36,0,,,,,,,
1/4/2025 18:45,10,36,0,,,,,,,
1/4/2025 19:00,10,43,0,,,,,,,
1/4/2025 19:15,10,36,0,,,,,,,
1/4/2025 19:30,10,43,0,,,,,,,
1/4/2025 19:45,10,43,0,,,,,,,
1/4/2025 20:00,10,30,0,,,,,,,
1/4/2025 20:15,10,27,0,,,,,,,
1/4/2025 20:30,10,27,0,,,,,,,
1/4/2025 20:45,10,27,0,,,,,,,
1/4/2025 21:00,10,27,0,,,,,,,
1/4/2025 21:15,10,27,0,,,,,,,
1/4/2025 21:30,10,33,0,,,,,,,
1/4/2025 21:45,10,36,0,,,,,,,
1/4/2025 22:00,10,36,0,,,,,,,
1/4/2025 22:15,10,36,0,,,,,,,
1/4/2025 22:30,10,36,0,,,,,,,
1/4/2025 22:45,10,44,0,,,,,,,
1/4/2025 23:00,10,44,0,,,,,,,
1/4/2025 23:15,10,36,0,,,,,,,
1/4/2025 23:30,10,36,0,,,,,,,
1/4/2025 23:45,10,30,0,,,,,,,
1/5/2025 0:00,10,42,0,,,,,,,
1/5/2025 0:15,10,27,0,,,,,,,
1/5/2025 0:30,10,27,0,,,,,,,
1/5/2025 0:45,10,30,0,,,,,,,
1/5/2025 1:00,10,36,0,,,,,,,
1/5/2025 1:15,10,47,0,,,,,,,
1/5/2025 1:30,10,47,0,,,,,,,
1/5/2025 1:45,10,36,0,,,,,,,
1/5/2025 2:00,10,43,0,,,,,,,
1/5/2025 2:15,10,36,0,,,,,,,
1/5/2025 2:30,10,36,0,,,,,,,
1/5/2025 2:45,10,36,0,,,,,,,
1/5/2025 3:00,10,36,0,,,,,,,
1/5/2025 3:15,10,36,0,,,,,,,
1/5/2025 3:30,10,36,0,,,,,,,
1/5/2025 3:45,10,47,0,,,,,,,
1/5/2025 4:00,10,47,0,,,,,,,
1/5/2025 4:15,10,36,0,,,,,,,
1/5/2025 4:30,10,36,0,,,,,,,
1/5/2025 4:45,10,47,0,,,,,,,
1/5/2025 5:00,10,47,0,,,,,,,
1/5/2025 5:15,10,47,0,,,,,,,
1/5/2025 5:30,10,47,0,,,,,,,
1/5/2025 5:45,10,47,0,,,,,,,
1/5/2025 6:00,10,40,0,,,,,,,
1/5/2025 6:15,10,47,0,,,,,,,
1/5/2025 6:30,10,47,0,,,,,,,
1/5/2025 6:45,10,51,0,,,,,,,
1/5/2025 7:00,10,59,9,,,,,,,
1/5/2025 7:15,10,59,9,,,,,,,
1/5/2025 7:30,10,59,9,,,,,,,
1/5/2025 7:45,10,47,9,,,,,,,
1/5/2025 8:00,10,40,53,,,,,,,
1/5/2025 8:15,10,36,53,,,,,,,
1/5/2025 8:30,10,36,53,,,,,,,
1/5/2025 8:45,10,36,53,,,,,,,
1/5/2025 9:00,10,36,114,,,,,,,
1/5/2025 9:15,10,33,114,,,,,,,
1/5/2025 9:30,10,27,114,,,,,,,
1/5/2025 9:45,10,19,114,,,,,,,
1/5/2025 10:00,10,15,143,,,,,,,
1/5/2025 10:15,10,11,143,,,,,,,
1/5/2025 10:30,10,11,143,,,,,,,
1/5/2025 10:45,10,11,143,,,,,,,
1/5/2025 11:00,10,7,84,,,,,,,
1/5/2025 11:15,10,9,84,,,,,,,
1/5/2025 11:30,10,9,84,,,,,,,
1/5/2025 11:45,10,13,84,,,,,,,
1/5/2025 12:00,10,13,114,,,,,,,
1/5/2025 12:15,10,13,114,,,,,,,
1/5/2025 12:30,10,9,114,,,,,,,
1/5/2025 12:45,10,13,114,,,,,,,
1/5/2025 13:00,10,13,93,,,,,,,
1/5/2025 13:15,10,13,93,,,,,,,
1/5/2025 13:30,10,13,93,,,,,,,
1/5/2025 13:45,10,13,93,,,,,,,
1/5/2025 14:00,10,17,143,,,,,,,
1/5/2025 14:15,10,13,143,,,,,,,
1/5/2025 14:30,10,9,143,,,,,,,
1/5/2025 14:45,10,13,143,,,,,,,
1/5/2025 15:00,10,13,82,,,,,,,
1/5/2025 15:15,10,22,82,,,,,,,
1/5/2025 15:30,10,22,82,,,,,,,
1/5/2025 15:45,10,13,82,,,,,,,
1/5/2025 16:00,10,17,29,,,,,,,
1/5/2025 16:15,10,19,29,,,,,,,
1/5/2025 16:30,10,19,29,,,,,,,
1/5/2025 16:45,10,27,29,,,,,,,
1/5/2025 17:00,10,27,0,,,,,,,
1/5/2025 17:15,10,27,0,,,,,,,
1/5/2025 17:30,10,40,0,,,,,,,
1/5/2025 17:45,10,47,0,,,,,,,
1/5/2025 18:00,10,55,0,,,,,,,
1/5/2025 18:15,10,59,0,,,,,,,
1/5/2025 18:30,10,59,0,,,,,,,
1/5/2025 18:45,10,59,0,,,,,,,
1/5/2025 19:00,10,59,0,,,,,,,
1/5/2025 19:15,10,59,0,,,,,,,
1/5/2025 19:30,10,59,0,,,,,,,
1/5/2025 19:45,10,55,0,,,,,,,
1/5/2025 20:00,10,47,0,,,,,,,
1/5/2025 20:15,10,51,0,,,,,,,
1/5/2025 20:30,10,59,0,,,,,,,
1/5/2025 20:45,10,59,0,,,,,,,
1/5/2025 21:00,10,59,0,,,,,,,
1/5/2025 21:15,10,64,0,,,,,,,
1/5/2025 21:30,10,64,0,,,,,,,
1/5/2025 21:45,10,64,0,,,,,,,
1/5/2025 22:00,10,74,0,,,,,,,
1/5/2025 22:15,10,74,0,,,,,,,
1/5/2025 22:30,10,74,0,,,,,,,
1/5/2025 22:45,10,74,0,,,,,,,
1/5/2025 23:00,10,74,0,,,,,,,
1/5/2025 23:15,10,74,0,,,,,,,
1/5/2025 23:30,10,74,0,,,,,,,
1/5/2025 23:45,10,64,0,,,,,,,
1/6/2025 0:00,10,74,0,,,,,,,
1/6/2025 0:15,10,74,0,,,,,,,
1/6/2025 0:30,10,74,0,,,,,,,
1/6/2025 0:45,10,74,0,,,,,,,
1/6/2025 1:00,10,74,0,,,,,,,
1/6/2025 1:15,10,90,0,,,,,,,
1/6/2025 1:30,10,90,0,,,,,,,
1/6/2025 1:45,10,85,0,,,,,,,
1/6/2025 2:00,10,74,0,,,,,,,
1/6/2025 2:15,10,59,0,,,,,,,
1/6/2025 2:30,10,59,0,,,,,,,
1/6/2025 2:45,10,59,0,,,,,,,
1/6/2025 3:00,10,59,0,,,,,,,
1/6/2025 3:15,10,59,0,,,,,,,
1/6/2025 3:30,10,59,0,,,,,,,
1/6/2025 3:45,10,47,0,,,,,,,
1/6/2025 4:00,10,47,0,,,,,,,
1/6/2025 4:15,10,47,0,,,,,,,
1/6/2025 4:30,10,40,0,,,,,,,
1/6/2025 4:45,10,36,0,,,,,,,
1/6/2025 5:00,10,36,0,,,,,,,
1/6/2025 5:15,10,36,0,,,,,,,
1/6/2025 5:30,10,30,0,,,,,,,
1/6/2025 5:45,10,30,0,,,,,,,
1/6/2025 6:00,10,36,0,,,,,,,
1/6/2025 6:15,10,36,0,,,,,,,
1/6/2025 6:30,10,36,0,,,,,,,
1/6/2025 6:45,10,33,0,,,,,,,
1/6/2025 7:00,10,33,15,,,,,,,
1/6/2025 7:15,10,27,15,,,,,,,
1/6/2025 7:30,10,27,15,,,,,,,
1/6/2025 7:45,10,36,15,,,,,,,
1/6/2025 8:00,10,30,77,,,,,,,
1/6/2025 8:15,10,27,77,,,,,,,
1/6/2025 8:30,10,33,77,,,,,,,
1/6/2025 8:45,10,27,77,,,,,,,
1/6/2025 9:00,10,27,119,,,,,,,
1/6/2025 9:15,10,27,119,,,,,,,
1/6/2025 9:30,10,22,119,,,,,,,
1/6/2025 9:45,10,19,119,,,,,,,
1/6/2025 10:00,10,19,137,,,,,,,
1/6/2025 10:15,10,15,137,,,,,,,
1/6/2025 10:30,10,15,137,,,,,,,
1/6/2025 10:45,10,13,137,,,,,,,
1/6/2025 11:00,10,13,132,,,,,,,
1/6/2025 11:15,10,13,132,,,,,,,
1/6/2025 11:30,10,13,132,,,,,,,
1/6/2025 11:45,10,13,132,,,,,,,
1/6/2025 12:00,10,17,136,,,,,,,
1/6/2025 12:15,10,19,136,,,,,,,
1/6/2025 12:30,10,19,136,,,,,,,
1/6/2025 12:45,10,13,136,,,,,,,
1/6/2025 13:00,10,13,132,,,,,,,
1/6/2025 13:15,10,13,132,,,,,,,
1/6/2025 13:30,10,13,132,,,,,,,
1/6/2025 13:45,10,7,132,,,,,,,
1/6/2025 14:00,10,7,112,,,,,,,
1/6/2025 14:15,10,9,112,,,,,,,
1/6/2025 14:30,10,13,112,,,,,,,
1/6/2025 14:45,10,7,112,,,,,,,
1/6/2025 15:00,10,11,104,,,,,,,
1/6/2025 15:15,10,9,104,,,,,,,
1/6/2025 15:30,10,13,104,,,,,,,
1/6/2025 15:45,10,13,104,,,,,,,
1/6/2025 16:00,10,17,57,,,,,,,
1/6/2025 16:15,10,19,57,,,,,,,
1/6/2025 16:30,10,19,57,,,,,,,
1/6/2025 16:45,10,22,57,,,,,,,
1/6/2025 17:00,10,27,3,,,,,,,
1/6/2025 17:15,10,27,3,,,,,,,
1/6/2025 17:30,10,27,3,,,,,,,
1/6/2025 17:45,10,47,3,,,,,,,
1/6/2025 18:00,10,47,0,,,,,,,
1/6/2025 18:15,10,51,0,,,,,,,
1/6/2025 18:30,10,59,0,,,,,,,
1/6/2025 18:45,10,59,0,,,,,,,
1/6/2025 19:00,10,59,0,,,,,,,
1/6/2025 19:15,10,59,0,,,,,,,
1/6/2025 19:30,10,59,0,,,,,,,
1/6/2025 19:45,10,69,0,,,,,,,
1/6/2025 20:00,10,59,0,,,,,,,
1/6/2025 20:15,10,64,0,,,,,,,
1/6/2025 20:30,10,64,0,,,,,,,
1/6/2025 20:45,10,74,0,,,,,,,
1/6/2025 21:00,10,85,0,,,,,,,
1/6/2025 21:15,10,90,0,,,,,,,
1/6/2025 21:30,10,90,0,,,,,,,
1/6/2025 21:45,10,80,0,,,,,,,
1/6/2025 22:00,10,90,0,,,,,,,
